layer,dropped_subject_index,dropped_subject_age,median_supF_full,median_supF_dropped,supF_retention
clinical_test,11,44.81,11.867616483740814,11.730257604344672,0.9884257399466582
clinical_test,12,60.18,11.867616483740814,11.453856383428285,0.9651353664082927
clinical_test,13,46.04,11.867616483740814,11.763804273053283,0.9912524801564191
clinical_test,14,67.47,11.867616483740814,11.702343896690328,0.9860736494748615
clinical_test,15,66.81,11.867616483740814,11.721043643231312,0.9876493446927347
clinical_test,16,33.79,11.867616483740814,13.906691458859852,1.1718184083478485
clinical_test,17,59.25,11.867616483740814,11.446591819826944,0.9645232330779568
clinical_test,18,54.16,11.867616483740814,11.683286371842293,0.984467806812677
clinical_test,19,45.43,11.867616483740814,11.70670874864006,0.9864414446387607
clinical_test,20,60.17999999999999,11.867616483740814,11.581304755503126,0.9758745381913926
clinical_test,21,61.0,11.867616483740814,12.32580332131246,1.0386081601305015
clinical_test,22,54.74,11.867616483740814,11.65552784874008,0.9821287926441417
clinical_test,23,38.8,11.867616483740814,11.788860948133308,0.9933638287253885
clinical_test,24,60.19,11.867616483740814,11.983732205629318,1.009784249604593
clinical_test,25,40.97,11.867616483740814,11.764772317852794,0.991334050436419
clinical_test,26,43.99,11.867616483740814,11.651822226258929,0.9818165460791951
clinical_test,27,63.45,11.867616483740814,11.803610877348122,0.9946067008080027
clinical_test,28,69.0,11.867616483740814,11.025054283504833,0.9290032500300013
clinical_test,29,56.26,11.867616483740814,11.487353679315524,0.9679579463200324
clinical_test,30,60.34,11.867616483740814,12.592979428198499,1.061121198637609
clinical_test,31,53.72,11.867616483740814,11.6239282477569,0.9794661180433512
clinical_test,32,52.25,11.867616483740814,12.317425297083638,1.0379022033581118
clinical_test,33,31.37,11.867616483740814,11.640105714154327,0.9808292785751723
clinical_test,34,60.6,11.867616483740814,11.503903368165604,0.969352471402028
clinical_test,35,63.260000000000005,11.867616483740814,12.49728805435154,1.0530579642064946
clinical_test,36,62.79999999999999,11.867616483740814,11.165062289095802,0.9408007331878694
clinical_test,37,62.92,11.867616483740814,11.560779806827167,0.9741450461148599
clinical_test,38,67.09,11.867616483740814,11.674145704828085,0.9836975875334535
clinical_test,39,55.86,11.867616483740814,11.83775278533075,0.9974835976161701
clinical_test,40,54.36,11.867616483740814,12.14931852348782,1.0237370360032236
clinical_test,41,44.41,11.867616483740814,11.78792174583808,0.9932846887989749
clinical_test,42,51.58,11.867616483740814,11.750255447542271,0.9901108165772518
clinical_test,43,50.98,11.867616483740814,11.711672798572456,0.9868597299734105
clinical_test,44,47.52,11.867616483740814,11.904342214208578,1.0030946172315292
clinical_test,45,50.70000000000001,11.867616483740814,11.718386780275324,0.9874254696661338
clinical_test,46,57.04,11.867616483740814,11.57168658053417,0.9750640826983176
clinical_test,47,50.53,11.867616483740814,11.739130496329254,0.9891733957203966
clinical_test,48,60.5,11.867616483740814,12.265279388966366,1.0335082369547726
clinical_test,49,58.19,11.867616483740814,11.843875749928937,0.9979995364827973
clinical_test,50,56.73,11.867616483740814,11.519566808815366,0.9706723186241911
clinical_test,51,32.33,11.867616483740814,11.900513497254039,1.0027719983670096
clinical_test,52,71.56,11.867616483740814,12.093236312607955,1.019011385241194
clinical_test,53,69.44,11.867616483740814,14.111334652060073,1.1890622410484242
clinical_test,54,29.18,11.867616483740814,10.626452341870028,0.8954158871268515
clinical_test,55,54.37,11.867616483740814,12.433340834463769,1.0476695848318003
clinical_test,56,40.26,11.867616483740814,11.652733374653248,0.9818933221020442
clinical_test,57,44.0,11.867616483740814,11.714176750591623,0.9870707202782116
clinical_test,58,45.43,11.867616483740814,12.719341084616019,1.0717688005878945
clinical_test,59,40.98,11.867616483740814,11.487706274371398,0.9679876570084724
clinical_test,60,50.19,11.867616483740814,11.79387607272837,0.9937864177601735
clinical_test,61,48.32,11.867616483740814,11.97039826286342,1.0086606926726542
clinical_test,62,73.4,11.867616483740814,9.036294325987635,0.7614245319072939
clinical_test,63,75.23,11.867616483740814,8.917030236399693,0.7513749916519833
clinical_test,64,63.04,11.867616483740814,10.843094987736665,0.9136708287289371
clinical_test,65,68.86,11.867616483740814,11.140340771868642,0.9387176259977247
clinical_test,66,69.79,11.867616483740814,11.02408036778302,0.9289211850489542
clinical_test,67,61.94,11.867616483740814,11.984959564491135,1.0098876704442787
clinical_test,68,45.68,11.867616483740814,11.719645647837158,0.9875315455208395
clinical_test,69,46.05,11.867616483740814,12.180142930779702,1.0263343905212192
clinical_test,70,45.06,11.867616483740814,11.69255398049693,0.9852487225649963
clinical_test,71,56.13,11.867616483740814,11.585455359699184,0.9762242802142954
clinical_test,72,53.68,11.867616483740814,11.676979641179413,0.9839363832811262
clinical_test,73,39.39,11.867616483740814,11.651789408566367,0.981813780764643
clinical_test,74,52.46,11.867616483740814,11.714642444523937,0.9871099610080543
clinical_test,75,48.97,11.867616483740814,11.802878102936733,0.9945449550975315
clinical_test,76,41.65,11.867616483740814,12.015849542171688,1.0124905501145878
clinical_test,77,52.94,11.867616483740814,12.123952835066342,1.0215996490682624
clinical_test,78,65.41,11.867616483740814,11.668353434633657,0.9832095139424031
clinical_test,79,55.92,11.867616483740814,12.44471886350096,1.0486283307647162
